Table Coordinates: (106.94, 501.07, 107.42, 501.55001), Width: 0.480000000000004, Height: 0.48000999999999294
Table Coordinates: (107.42, 501.07, 177.74, 501.55001), Width: 70.32000000000001, Height: 0.48000999999999294
Table Coordinates: (177.74, 501.07, 178.22, 501.55001), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (248.57, 501.07, 249.04999999999998, 501.55001), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (249.05, 501.07, 319.49, 501.55001), Width: 70.44, Height: 0.48000999999999294
Table Coordinates: (319.49, 501.07, 319.97001, 501.55001), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (390.31, 501.07, 390.78998, 501.55001), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (390.79, 501.07, 461.254, 501.55001), Width: 70.464, Height: 0.48000999999999294
Table Coordinates: (461.26, 501.07, 461.73998, 501.55001), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (106.94, 479.35, 107.42, 501.07000000000005), Width: 0.480000000000004, Height: 21.720000000000027
Table Coordinates: (177.74, 479.35, 178.22, 501.07000000000005), Width: 0.47999999999998977, Height: 21.720000000000027
Table Coordinates: (248.57, 479.35, 249.04999999999998, 501.07000000000005), Width: 0.47999999999998977, Height: 21.720000000000027
Table Coordinates: (319.49, 479.35, 319.97001, 501.07000000000005), Width: 0.48000999999999294, Height: 21.720000000000027
Table Coordinates: (390.31, 479.35, 390.78998, 501.07000000000005), Width: 0.47998000000001184, Height: 21.720000000000027
Table Coordinates: (461.26, 479.35, 461.73998, 501.07000000000005), Width: 0.47998000000001184, Height: 21.720000000000027
Table Coordinates: (106.94, 478.87, 107.42, 479.34998), Width: 0.480000000000004, Height: 0.47998000000001184
Table Coordinates: (107.42, 478.87, 177.74, 479.34998), Width: 70.32000000000001, Height: 0.47998000000001184
Table Coordinates: (177.74, 478.87, 178.22, 479.34998), Width: 0.47999999999998977, Height: 0.47998000000001184
Table Coordinates: (248.57, 478.87, 249.04999999999998, 479.34998), Width: 0.47999999999998977, Height: 0.47998000000001184
Table Coordinates: (249.05, 478.87, 319.49, 479.34998), Width: 70.44, Height: 0.47998000000001184
Table Coordinates: (319.49, 478.87, 319.97001, 479.34998), Width: 0.48000999999999294, Height: 0.47998000000001184
Table Coordinates: (390.31, 478.87, 390.78998, 479.34998), Width: 0.47998000000001184, Height: 0.47998000000001184
Table Coordinates: (390.79, 478.87, 461.254, 479.34998), Width: 70.464, Height: 0.47998000000001184
Table Coordinates: (461.26, 478.87, 461.73998, 479.34998), Width: 0.47998000000001184, Height: 0.47998000000001184
Table Coordinates: (106.94, 457.03, 107.42, 478.86999999999995), Width: 0.480000000000004, Height: 21.839999999999975
Table Coordinates: (177.74, 457.03, 178.22, 478.86999999999995), Width: 0.47999999999998977, Height: 21.839999999999975
Table Coordinates: (248.57, 457.03, 249.04999999999998, 478.86999999999995), Width: 0.47999999999998977, Height: 21.839999999999975
Table Coordinates: (319.49, 457.03, 319.97001, 478.86999999999995), Width: 0.48000999999999294, Height: 21.839999999999975
Table Coordinates: (390.31, 457.03, 390.78998, 478.86999999999995), Width: 0.47998000000001184, Height: 21.839999999999975
Table Coordinates: (461.26, 457.03, 461.73998, 478.86999999999995), Width: 0.47998000000001184, Height: 21.839999999999975
